"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,Google Finance
,,,,,
expr,<< enter a symbol,,,,
,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,
"Express, Inc.",,,,,
,,,,,
Current Price,,Change,% Change,,
2.9,,0.01,0.17%,,
,,,,,
,,,,,
Market Cap,P/E Ratio,Beta,,,
194M,-,1.67,,,
,,,,,12 Months
,,,,,
,,,,,
expr,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Date,Open,High,Low,Close,Volume
20-Sep-21,5.2,5.35,5.07,5.23,"3,353,086"
21-Sep-21,5.29,5.36,5,5.09,"3,307,063"
22-Sep-21,5.13,5.38,5.12,5.28,"2,328,029"
23-Sep-21,5.32,5.66,5.27,5.41,"3,710,627"
24-Sep-21,5.34,5.41,5.2,5.26,"2,121,148"
27-Sep-21,5.28,5.45,5.22,5.24,"2,560,129"
28-Sep-21,5.2,5.4,5.17,5.24,"3,954,554"
29-Sep-21,5.25,5.35,5.04,5.11,"2,944,018"
30-Sep-21,5.05,5.08,4.65,4.72,"8,759,283"
1-Oct-21,4.8,4.87,4.66,4.73,"3,848,247"
4-Oct-21,4.73,4.84,4.66,4.69,"2,339,146"
5-Oct-21,4.71,4.85,4.52,4.62,"3,241,615"
6-Oct-21,4.55,4.59,4.37,4.41,"3,275,617"
7-Oct-21,4.46,4.61,4.45,4.56,"1,925,342"
8-Oct-21,4.53,4.64,4.48,4.52,"1,560,025"
11-Oct-21,4.51,4.75,4.5,4.54,"2,644,778"
12-Oct-21,4.6,4.62,4.47,4.56,"1,944,317"
13-Oct-21,4.56,4.63,4.47,4.51,"2,497,190"
14-Oct-21,4.52,4.54,4.38,4.42,"3,675,898"
15-Oct-21,4.45,4.54,4.36,4.36,"3,372,381"
18-Oct-21,4.36,4.36,4.16,4.27,"4,979,203"
19-Oct-21,4.29,4.37,4.14,4.3,"4,650,983"
20-Oct-21,4.22,4.28,4.15,4.19,"2,973,892"
21-Oct-21,4.21,4.48,4.2,4.23,"3,359,222"
22-Oct-21,4.2,4.21,4.02,4.15,"3,433,301"
25-Oct-21,4.06,4.24,4.05,4.14,"2,963,373"
26-Oct-21,4.17,4.18,3.92,3.94,"3,577,772"
27-Oct-21,3.94,3.96,3.79,3.79,"2,462,035"
28-Oct-21,3.87,3.97,3.79,3.9,"2,757,389"
29-Oct-21,3.9,3.93,3.77,3.84,"1,856,272"
1-Nov-21,3.88,4.18,3.88,4.03,"3,351,250"
2-Nov-21,4.06,4.3,3.95,4.28,"4,912,160"
3-Nov-21,4.33,4.8,4.26,4.28,"15,084,065"
4-Nov-21,4.32,4.35,4.19,4.27,"2,825,536"
5-Nov-21,4.3,4.48,4.2,4.45,"4,351,944"
8-Nov-21,4.59,4.61,4.37,4.38,"3,310,352"
9-Nov-21,4.38,4.5,4.18,4.39,"3,193,503"
10-Nov-21,4.31,4.42,4.11,4.19,"2,461,854"
11-Nov-21,4.27,4.36,4.21,4.22,"2,215,532"
12-Nov-21,4.25,4.31,4.17,4.27,"1,673,934"
15-Nov-21,4.28,4.39,4.26,4.31,"1,836,427"
16-Nov-21,4.26,4.27,4.01,4.21,"3,010,029"
17-Nov-21,4.19,4.4,4.14,4.15,"2,014,673"
18-Nov-21,4.38,4.59,4.21,4.55,"4,780,781"
19-Nov-21,4.42,4.43,4.26,4.27,"4,470,226"
22-Nov-21,4.33,4.8,4.32,4.61,"5,585,285"
23-Nov-21,4.54,4.66,4.35,4.45,"2,449,478"
24-Nov-21,4.36,4.42,4.2,4.22,"3,142,108"
26-Nov-21,4.04,4.08,3.8,3.93,"4,028,631"
29-Nov-21,4.06,4.16,3.66,3.82,"4,550,425"
30-Nov-21,3.77,3.78,3.51,3.64,"3,875,271"
1-Dec-21,3.74,3.94,3.36,3.38,"6,129,221"
2-Dec-21,3.61,4.38,3.6,3.88,"22,036,804"
3-Dec-21,3.79,3.83,3.26,3.43,"9,045,547"
6-Dec-21,3.61,3.78,3.34,3.47,"4,817,760"
7-Dec-21,3.5,3.76,3.46,3.66,"3,875,631"
8-Dec-21,3.71,3.86,3.56,3.68,"2,491,949"
9-Dec-21,3.66,3.78,3.6,3.62,"2,279,451"
10-Dec-21,3.64,3.69,3.4,3.44,"3,686,513"
13-Dec-21,3.44,3.45,3.08,3.2,"4,171,714"
14-Dec-21,3.13,3.32,3.12,3.18,"2,926,256"
15-Dec-21,3.22,3.22,2.93,3.12,"6,499,360"
16-Dec-21,3.16,3.18,2.88,2.92,"3,395,453"
17-Dec-21,2.85,3.05,2.75,2.92,"6,516,254"
20-Dec-21,2.8,3.13,2.78,3,"5,799,706"
21-Dec-21,3.03,3.17,3.01,3.11,"2,764,639"
22-Dec-21,3.09,3.14,3.03,3.13,"1,985,229"
23-Dec-21,3.16,3.16,3.05,3.07,"1,273,225"
27-Dec-21,3.05,3.11,3,3.05,"1,573,758"
28-Dec-21,3.03,3.39,3.03,3.07,"3,768,353"
29-Dec-21,3.09,3.2,3.02,3.14,"2,500,545"
30-Dec-21,3.12,3.32,3.11,3.31,"3,126,662"
31-Dec-21,3.3,3.39,3.07,3.08,"4,951,849"
3-Jan-22,3.13,3.35,3.13,3.27,"2,909,550"
4-Jan-22,3.28,3.35,3.22,3.33,"2,331,673"
5-Jan-22,3.31,3.33,3.03,3.05,"2,506,962"
6-Jan-22,3.09,3.16,2.89,3.14,"4,051,318"
7-Jan-22,3.09,3.21,3,3.05,"1,506,917"
10-Jan-22,3,3.04,2.81,2.99,"3,405,047"
11-Jan-22,2.98,3.23,2.95,3.18,"2,504,409"
12-Jan-22,3.23,3.27,3.06,3.13,"2,165,626"
13-Jan-22,3.13,3.31,3.11,3.26,"2,723,855"
14-Jan-22,3.19,3.24,3.04,3.15,"1,821,234"
18-Jan-22,3.09,3.27,3.01,3.15,"3,311,163"
19-Jan-22,3.13,3.2,3,3.03,"2,295,259"
20-Jan-22,3.03,3.11,2.88,2.9,"3,200,891"
21-Jan-22,2.91,2.96,2.74,2.92,"2,832,413"
24-Jan-22,2.81,3.13,2.75,3.08,"3,958,121"
25-Jan-22,3,3.11,2.95,3.09,"2,340,281"
26-Jan-22,3.15,3.2,2.92,2.95,"2,964,400"
27-Jan-22,2.99,3.09,2.88,2.9,"1,822,124"
28-Jan-22,2.87,2.95,2.8,2.9,"2,301,535"
